data balance, डाटा बैलेंस,, No mistake
sex video,,,  Both model prediction and ground truth wrong
I didn't have a Airtel Wi-Fi option, आइ डिड हाव ए एयरटेल लाइफ आइ च,, Doesnt pick up English
hello, के,, Random Prediction
chahie Mujhe Abhi, चाय यह भी,, Incorrect Prediction of repetition of words
hello tune, हेलो टून,, No mistake
data balance, डाटाबेस,, Random Prediction
Vodafone, वाट,, Doesnt pick up English
hello tune, हेलो टून,, Similar Sounding Word Predicted
data balance, डाटाबेस,, Incorrect Single Word Prediction
satri movie, स्क्री मुही,,  Both model prediction and ground truth wrong
bill plan, बिल प्लान,, No mistake
Wi-Fi pack, आइ से बाक,, No mistake
namaskar Sar mere phone mein sms Nahin ja rahe, नमश्कासर मेरे फोन में एसएमएस नहीं जा रही है,, Incorrect Single Word Prediction
ok, ओके,, No mistake
please play Chhota Bheem, प्लीस प्ले छोटा भी,, Incorrect Prediction of repetition of words
a rahi hai Sony SAB, सोनी सब्,, No mistake
yes, येस,, No mistake
you are fucking asshole, यु आर की 1,, Random Prediction
Commando 3, कमांडो सी,, Incorrect Single Word Prediction
DND Kaise activate, डी एन डी कैसे एक्टिवेट करें,, No mistake
recharge bata do, रिचार्ज बता दो,, No mistake
chahie Mujhe Abhi, चाय यह भी,, Doesnt pick up English
Big Magic channel, मिग मैजिक चैनल,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
Vodafone, वाट,, Doesnt pick up English
recharge, रिचार्ज,, Similar Sounding Word Predicted
recharge, रिचार्ज,, No mistake
Airtel ka ID kaise Banega, यह का भारी के लेगा,, Incorrect Prediction of repetition of words
bill plan, बिल प्लान,, No mistake
Jharkhandi songs Bewafa Main, झारखंडी सोन्स बी आर परम,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
please play Chhota Bheem, प्लीस प्ले छोटा भी,, No mistake
kya mujhe Panch abhi mile hain 7 din ke liye, क्या मुझे पास भी मिल है 7 दिन के लिए,,  Both model prediction and ground truth wrong
phone mein kitne baje Hain, कम कर रहे है,,  Both model prediction and ground truth wrong
how will I get 2GB data, हाउ विल आइ गेट दो वित डा,, Doesnt pick up English
DND request, डीएनडी रीक्वेस्ट,, No mistake
naya recharge packs, न आर रिचार्ज पैक्स,, Random Prediction
movie, मूवीस,, No mistake
bye-bye, बार बार,, Random Prediction
merath Na nightwatcher Hai, मेरा माना को अच्छा है,,  Both model prediction and ground truth wrong
Punjabi song, पंजाबी सोन,, Similar Sounding Word Predicted
bye-bye, बार बार,, Doesnt pick up English
Mujhe 399 rupaye ka recharge karna tha, वास 80 इन थे लुपित चच करना था,, Random Prediction
Punjabi song, पंजाबी सोन,, Incorrect Single Word Prediction
kripya naye plan ke bare mein bataen, कृपया नए प्लान के बारे में बताए,, No mistake
Freecharge, रिचार्ज,, Incorrect Prediction of repetition of words
Freecharge, रिचार्ज,, Incorrect Single Word Prediction
namaskar Mera account balance bataen, नमस्कार मेरा अकाउंट बैलेंस बता है,, Incorrect Single Word Prediction
yes, स,, Incorrect Single Word Prediction
hello tune services, हैलो टून दो लिस,, Doesnt pick up English
hello tune services, हैलो टून दो लिस,, Random Prediction
hello tune services, हैलो टून दो लिस,, Wrong Ground Truth
hello tune services, हैलो टून दो लिस,, V instead of B
hello tune services, हैलो टून दो लिस,, Doesnt pick up English
hello tune services, हैलो टून दो लिस,, Last word verb missing
account balance, अकाउंट बैलेंस,, No mistake
hello tune services, हैलो टून दो लिस,, Doesnt pick up English
account manager, अकाउंट वैस,, Incorrect Single Word Prediction
DND activate kar, डी एन डी एक्टिवेट कर दो,, Wrong Ground Truth
hello Google, हैलो दो वेर,, Incorrect Single Word Prediction
Mujhe Jata chahie free mein Kaise milega, मुझे डाटा चाहिए फ्री व्या से मिलेगा,,  Both model prediction and ground truth wrong
Mere prashn ka Uttar Kyon Nahin de rahe hain Meri Shayad Kyon nahin karta, मेरे प्रश्न का क्यों नहीं दे रहे है मेरी सहायता की नहीं सकता,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
bill details, बिल डिटेल्स,, No mistake
mera net kitna hai, मेरा नेट कितना है,, No mistake
DND status, डी एन डिस्टेड 10,, Doesnt pick up English
Mera recharge kab khatam hoga, मेरा रिचार्ज को खत्म होगा,, Incorrect Single Word Prediction
Dangal  Nahin a raha hai, बलीस,, Random Prediction
bill details, बिल डिटेल्स,, No mistake
Nahin irnss, न नाम,,  Both model prediction and ground truth wrong
account balance, अकाउंट बैलेंस,, No mistake
naye plans, नए प्लान्स,, No mistake
recharge, रिचार्ज,, No mistake
hello, हैलो,, No mistake
recharge 249, रिचार्ज 249,, No mistake
account balance ki jankari batao, का बैलेंस की जानकारी बताओ,, Incorrect Single Word Prediction
data balance, डाटा,, Doesnt pick up English
recharge kar do 99 ka, रिचार्ज कर 299  का,, Incorrect Prediction of repetition of words
Mera recharge kab khatam hoga, मेरा रिचार्ज को खत्म होगा,,  Both model prediction and ground truth wrong
Hamen abhi chahie, हमें अभी चाहिये,, Similar Sounding Word Predicted
Nahin plans of 9805 13 4563,,, Incorrect Prediction of repetition of words
